Uid,City Name,State,Abbr
1561370459,Ravenden Springs,Arkansas,AR
1561370460,Reader,Arkansas,AR
1561370461,Rector,Arkansas,AR
1561370462,Redfield,Arkansas,AR
1561370463,Reed,Arkansas,AR
1561370464,Reyno,Arkansas,AR
1561370465,Rison,Arkansas,AR
1561370466,Rockport,Arkansas,AR
1561370467,Rockwell,Arkansas,AR
1561370468,Roe,Arkansas,AR
1561370469,Rogers,Arkansas,AR
1561370470,Roland,Arkansas,AR
1561370471,Rondo,Arkansas,AR
1561370472,Rose Bud,Arkansas,AR
1561370473,Rosston,Arkansas,AR
1561370474,Rudy,Arkansas,AR
1561370475,Russell,Arkansas,AR
1561370476,Russellville,Arkansas,AR
1561370477,Rye,Arkansas,AR
1561370478,Salem,Arkansas,AR
1561370479,Salem city,Arkansas,AR
1561370480,Salesville,Arkansas,AR
1561370481,Scott,Arkansas,AR
1561370482,Scranton,Arkansas,AR
1561370483,Searcy,Arkansas,AR
1561370484,Sedgwick,Arkansas,AR
1561370485,Shannon Hills,Arkansas,AR
1561370486,Sheridan,Arkansas,AR
1561370487,Sherrill,Arkansas,AR
1561370488,Sherwood,Arkansas,AR
1561370489,Shirley,Arkansas,AR
1561370490,Sidney,Arkansas,AR
1561370491,Siloam Springs,Arkansas,AR
1561370492,Smackover,Arkansas,AR
1561370493,Smithville,Arkansas,AR
1561370494,South Lead Hill,Arkansas,AR
1561370495,Southside,Arkansas,AR
1561370496,Sparkman,Arkansas,AR
1561370497,Springdale,Arkansas,AR
1561370498,Springtown,Arkansas,AR
1561370499,St. Charles,Arkansas,AR
1561370500,St. Francis,Arkansas,AR
1561370501,St. Joe,Arkansas,AR
1561370502,St. Paul,Arkansas,AR
1561370503,Stamps,Arkansas,AR
1561370504,Star City,Arkansas,AR
1561370505,Staves,Arkansas,AR
1561370506,Stephens,Arkansas,AR
1561370507,Strawberry,Arkansas,AR
1561370508,Strong,Arkansas,AR
1561370509,Stuttgart,Arkansas,AR
1561370510,Subiaco,Arkansas,AR
1561370511,Success,Arkansas,AR
1561370512,Sulphur Rock,Arkansas,AR
1561370513,Sulphur Springs,Arkansas,AR
1561370514,Sulphur Springs city,Arkansas,AR
1561370515,Summit,Arkansas,AR
1561370516,Sunset,Arkansas,AR
1561370517,Sweet Home,Arkansas,AR
1561370518,Swifton,Arkansas,AR
1561370519,Taylor,Arkansas,AR
1561370520,Texarkana,Arkansas,AR
1561370521,Thornton,Arkansas,AR
1561370522,Tillar,Arkansas,AR
1561370523,Tinsman,Arkansas,AR
1561370524,Tollette,Arkansas,AR
1561370525,Tontitown,Arkansas,AR
1561370526,Traskwood,Arkansas,AR
1561370527,Trumann,Arkansas,AR
1561370528,Tuckerman,Arkansas,AR
1561370529,Tull,Arkansas,AR
